Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PAPL,Pineapple Financial Inc. Common Stock,$1.01,-0.01,-0.98%,26349538.00,,,51088,Finance,Finance: Consumer Services
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$21.84,-0.13,-0.592%,,United States,,33036,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$20.25,-0.1151,-0.565%,,United States,,2331,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$18.60,-0.10,-0.535%,,United States,,977,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$18.55,0.15,0.815%,,United States,,7203,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$18.20,-0.10,-0.546%,,United States,,2860,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$18.2599,0.00,0.00%,,United States,,7,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$17.00,-0.03,-0.176%,,United States,,105,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$16.99,0.00,0.00%,,United States,,28,,
PED,Pedevco Corp. Common Stock,$13.46,-1.53,-10.207%,179036884.00,United States,,133509,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$0.3478,-0.0112,-3.12%,4103153.00,,2019,1271456,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PHXE^,Phoenix Energy One LLC Series A Cumulative Redeemable Preferred Shares,$25.22,0.12,0.478%,,,,10235,,
PLAG,Planet Green Holdings Corp. Common Stock,$2.22,0.21,10.448%,31596625.00,China,,34822,Consumer Staples,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.35,-0.03,-2.174%,171214937.00,Canada,,815894,Basic Materials,Precious Metals
