Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CMCL,Caledonia Mining Corporation Plc Common Shares,$19.10,-0.33,-1.698%,368878835.00,Canada,,113312,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$23.60,0.15,0.64%,210033604.00,United States,1996,18247,Industrials,Plastic Products
CNL,Collective Mining Ltd. Common Shares,$12.25,-0.28,-2.235%,1136058961.00,,2024,64078,,
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$15.95,0.90,5.98%,95816674.00,China,2016,25606,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$13.58,0.48,3.664%,34094695.00,United States,,8802,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$0.6601,0.0331,5.279%,26748574.00,China,,54101,Health Care,Biotechnology: Pharmaceutical Preparations
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.18,0.04,0.56%,0.00,United States,2003,2043042,Finance,Finance/Investors Services
CTGO,Contango Silver & Gold Inc. Common Stock,$15.79,0.12,0.766%,485877422.00,United States,2021,364530,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$0.7199,-0.0032,-0.443%,68173766.00,,2022,1497200,Consumer Discretionary,Professional Services
CVM,Cel-Sci Corporation Common Stock,$1.04,-0.04,-3.704%,15576230.00,United States,1997,241287,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$10.405,0.095,0.921%,10052603.00,United States,1930,593,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$5.19,-0.11,-2.075%,68558182.00,United States,2022,22519,Industrials,Military/Government/Technical
DC,Dakota Gold Corp. Common Stock,$4.26,0.00,0.00%,570533693.00,United States,2022,1136855,Basic Materials,Metal Mining
DDC,DDC Enterprise Limited Class A Ordinary Shares,$0.9299,-0.003,-0.322%,42799088.00,,2023,71762,Consumer Staples,Packaged Foods
DHY,Credit Suisse High Yield Credit Fund Common Stock,$1.78,0.03,1.714%,0.00,United States,1998,1341607,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$72.79,0.00,0.00%,71045078.00,United States,1999,62,Consumer Discretionary,Food Distributors
DNN,Denison Mines Corp Ordinary Shares (Canada),$3.06,-0.06,-1.923%,2769351904.00,Canada,,20362994,Basic Materials,Other Metals and Minerals
DSS,DSS Inc. Common Stock,$0.59,0.013,2.253%,5925086.00,United States,,30596,Consumer Discretionary,Containers/Packaging
DXF,Eason Technology Limited American Depositary Shares (each representing sixty-thousand (60000) Ordinary Shares),$0.3659,-0.0121,-3.201%,1184036.00,,,10733913,Finance,Finance: Consumer Services
EAD,Allspring Income Opportunities Fund Common Shares,$6.50,0.03,0.464%,0.00,United States,2003,441140,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$13.21,0.14,1.071%,0.00,United States,1986,16823,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$20.7555,0.2255,1.098%,,United States,,600,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.96,0.00,0.00%,0.00,United States,2002,170261,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$28.88,0.26,0.908%,749825187.00,United States,,214005,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$18.50,0.00,0.00%,254989755.00,Israel,,458,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$42.30,0.07,0.166%,350246707.00,United States,2011,160471,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EONR,EON Resources Inc. Class A Common Stock,$0.4415,-0.0237,-5.095%,22061024.00,,2022,795157,Energy,Oil & Gas Production
EP,Empire Petroleum Corporation Common Stock,$2.68,-0.01,-0.372%,106643107.00,United States,2022,74348,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$3.68,-0.04,-1.075%,132011628.00,United States,,426718,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$9.72,-0.01,-0.103%,7670111622.00,Canada,,11343616,Basic Materials,Precious Metals
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.21,0.04,0.436%,0.00,United States,2003,71811,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$12.09,0.01,0.083%,0.00,,2004,39886,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$67.35,0.87,1.309%,201775347.00,United States,1960,29168,Technology,Industrial Machinery/Components
EVI,EVI Industries Inc.  Common Stock,$14.78,-0.04,-0.27%,190205490.00,United States,1999,163631,Consumer Discretionary,Other Consumer Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$9.37,0.03,0.321%,0.00,United States,2003,441519,Finance,Finance/Investors Services
EXOD,Exodus Movement Inc. Class A Common Stock,$5.17,-0.09,-1.711%,155166119.00,United States,,30109,Finance,Finance: Consumer Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$14.71,0.07,0.478%,0.00,United States,1986,235368,Finance,Investment Managers
FJET,Starfighters Space Inc. Common Stock,$5.32,-0.31,-5.506%,264012187.00,United States,2025,1462329,Consumer Discretionary,Air Freight/Delivery Services
FLYX,flyExclusive Inc. Class A Common Stock,$2.00,0.02,1.01%,192068600.00,,2023,447955,Consumer Discretionary,Transportation Services
FSI,Flexible Solutions International Inc. Common Stock (CDA),$6.66,-0.15,-2.203%,84831737.00,Canada,2002,2474,Industrials,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$0.515,-0.017,-3.195%,53400525.00,United States,,823932,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$5.79,0.01,0.173%,233947115.00,United States,2003,366311,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.5399,-0.02,-3.572%,102652372.00,,2020,52290,Basic Materials,Precious Metals
GAU,Galiano Gold Inc.,$1.87,0.00,0.00%,488469739.00,Canada,,1813927,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GBR,New Concept Energy Inc Common Stock,$0.6911,-0.0089,-1.271%,3546680.00,United States,1993,22085,Energy,Oil & Gas Production
GCDT,Green Circle Decarbonize Technology Limited Ordinary Shares,$0.569,0.0438,8.34%,7112500.00,,2026,246611,Industrials,Industrial Machinery/Components
GENC,Gencor Industries Inc. Common Stock,$14.92,-0.13,-0.864%,218692914.00,United States,,16002,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$4.84,0.03,0.624%,0.00,United States,2005,601068,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$19.65,-0.20,-1.008%,,United States,,3262,,
GLDG,GoldMining Inc. Common Shares,$0.907,-0.003,-0.33%,194097924.00,,,258320,Basic Materials,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$6.12,0.05,0.824%,0.00,United States,2006,257671,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$8.62,0.06,0.701%,0.00,United States,2005,199753,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$19.2026,0.1426,0.748%,114618610.00,United States,2004,6359,Finance,Finance/Investors Services
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$84.00,11.89,16.489%,,United States,,2018,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$6.64,0.11,1.685%,84391631.00,United States,2004,70950,Finance,Finance/Investors Services
GMTL,Guardian Metal Resources PLC ADS,$14.01,-0.06,-0.426%,543610360.00,,2026,401071,Basic Materials,Metal Mining
GNS,Genius Group Limited Ordinary Shares,$0.187,-0.0014,-0.743%,36404822.00,Singapore,2022,4274961,Consumer Discretionary,Services-Misc. Amusement & Recreation
GORO,Gold Resource Corporation Common Stock,$1.26,-0.06,-4.545%,203972465.00,United States,,1356292,Basic Materials,Precious Metals
GPUS,Hyperscale Data Inc. Common Stock,$0.1407,-0.019,-11.897%,48934424.00,United States,1997,112235505,Technology,Industrial Machinery/Components
GPUS^D,Hyperscale Data Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$19.50,0.4879,2.566%,,United States,,742,,
GRAF,Graf Global Corp. Class A ordinary shares,$10.85,-0.05,-0.459%,0.00,,2024,4599,,
GRF,Eagle Capital Growth Fund Inc. Common Stock,$10.19,-0.005,-0.049%,0.00,United States,,701,Finance,Finance/Investors Services
GRO,Brazil Potash Corp. Common Shares,$2.15,-0.05,-2.273%,131784067.00,,2024,319477,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GROY,Gold Royalty Corp. Common Shares,$2.76,0.01,0.364%,702260903.00,Canada,2021,1210717,Basic Materials,Precious Metals
GTE,Gran Tierra Energy Inc. Common Stock,$6.25,0.04,0.644%,220617338.00,Canada,,190840,Energy,Oil & Gas Production
HCWC,Healthy Choice Wellness Corp. Class A Common Stock,$0.194,0.006,3.191%,5150806.00,,2024,368668,Consumer Staples,Food Chains
HSLV,Highlander Silver Corp. Common Shares,$4.66,-0.11,-2.306%,947953128.00,,,298768,,
HYLN,Hyliion Holdings Corp. Class A Common Stock,$5.21,0.42,8.768%,929084920.00,United States,2019,5827041,Consumer Discretionary,Construction/Ag Equipment/Trucks
IAF,abrdn Australia Equity Fund Inc. Common Stock,$12.38,0.10,0.814%,0.00,United States,1985,13334,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$1.44,0.00,0.00%,1241353650.00,Canada,2022,10286970,Basic Materials,Precious Metals
IBO,Impact BioMedical Inc. Common Stock,$0.46,-0.0433,-8.603%,49597766.00,,2024,147561,Health Care,Biotechnology: Pharmaceutical Preparations
IDR,Idaho Strategic Resources Inc. Common Stock,$32.75,-0.11,-0.335%,517772882.00,United States,2022,201816,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$9.61,0.24,2.561%,1521182209.00,Canada,2022,2282360,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.272,0.001,0.369%,26062502.00,United States,,258498,Health Care,Biotechnology: Pharmaceutical Preparations
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.70,-0.15,-8.108%,15984818.00,United States,1999,57716,Finance,Investment Bankers/Brokers/Service
IMO,Imperial Oil Limited Common Stock,$112.02,-1.23,-1.086%,54172087860.00,Canada,1929,405758,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$2.74,-0.06,-2.143%,42159942.00,,2019,312437,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$9.65,-0.23,-2.328%,194753434.00,United States,,201303,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$5.50,-0.50,-8.333%,24722467.00,,2022,1197,Technology,Computer Software: Prepackaged Software
INTT,inTest Corporation Common Stock,$18.17,1.18,6.945%,228299818.00,United States,1997,148153,Industrials,Electrical Products
INUV,Inuvo Inc.,$1.26,-0.10,-7.353%,18674331.00,United States,,124712,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$18.44,0.00,0.00%,74980322.00,United States,1987,293,Real Estate,Real Estate Investment Trusts
ISOU,IsoEnergy Ltd. Common Shares,$9.97,-0.11,-1.091%,604470452.00,,2025,85203,,
ITP,IT Tech Packaging Inc. Common Stock,$0.185,-0.0021,-1.122%,3138603.00,China,,330199,Consumer Discretionary,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$2.27,0.05,2.252%,459111270.00,,,2710458,Basic Materials,Precious Metals
JAGU,Jaguar Uranium Corp. Class A Common Shares,$1.67,-0.06,-3.468%,33723608.00,,2026,84776,,
JOB,GEE Group Inc. Common Stock,$0.21,0.0031,1.498%,23072844.00,United States,1968,304795,Consumer Discretionary,Diversified Commercial Services
KAPA,Kairos Pharma Ltd. Common Stock,$0.3837,0.0267,7.479%,8215477.00,,2024,111513,Health Care,Biotechnology: Pharmaceutical Preparations
KNRX,KNOREX LTD. Class A Ordinary Shares,$0.483,0.0089,1.877%,14694364.00,,2025,28557,Technology,Computer Software: Programming Data Processing
KULR,KULR Technology Group Inc. Common Stock,$3.81,-0.18,-4.511%,176239799.00,United States,,2010134,Technology,Electrical Products
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.31,-0.04,-2.963%,326580766.00,United States,,865803,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEGO,Legato Merger Corp. IV Ordinary Shares,$9.92,0.00,0.00%,300645797.00,,2026,31968,Industrials,Steel/Iron Ore
LGCY,Legacy Education Inc. Common Stock,$11.76,-0.20,-1.672%,148787967.00,,2024,44150,Real Estate,Other Consumer Services
LGL,LGL Group Inc. (The) Common Stock,$6.91,-0.07,-1.003%,45263506.00,United States,1946,12332,Technology,Industrial Machinery/Components
LGPS,LogProstyle Inc. Common Shares,$0.6902,-0.0381,-5.231%,16324686.00,,2025,27553911,Consumer Discretionary,Homebuilding
LODE,Comstock Inc. Common Stock,$4.16,-0.06,-1.422%,315798429.00,United States,,1139381,Industrials,Major Chemicals
LPA,Logistic Properties of the Americas Ordinary Shares,$3.36,-0.09,-2.609%,106235858.00,,2024,61274,Finance,Real Estate
LSF,Laird Superfood Inc. Common Stock,$4.70,-0.29,-5.812%,51720436.00,,2020,67668,Consumer Staples,Packaged Foods
LUD,Luda Technology Group Limited Ordinary Shares,$4.44,0.06,1.37%,100743600.00,,2025,13780,Industrials,Steel/Iron Ore
